partido,mediana,posicao_ideologica
PSTU,0,Esquerda
PCO,0,Esquerda
PCB,"0,9",Esquerda
PSOL,1,Esquerda
PCdoB,2,Centro-esquerda
PT,3,Centro-esquerda
PDT,4,Centro
PSB,4,Centro
Rede,4,Centro
PPS,5,Centro
PV,5,Centro
PTB,6,Centro-direita
Avante,6,Centro-direita
PP,6,Centro-direita
SDD,7,Direita
PMN,7,Direita
PMB,7,Direita
PHS,7,Direita
MDB,7,Direita
PSD,7,Direita
PSDB,7,Direita
Podemos,7,Direita
PPL,8,Direita
PRTB,8,Direita
Pros,7,Direita
PRP,7,Direita
PRB,8,Direita
PR,8,Direita
PTC,8,Direita
DC,8,Direita
PSL,8,Direita
Novo,8,Direita
Progressistas,8,Direita
PSC,8,Direita
Patriota,9,Extrema-direita
DEM,9,Extrema-direita